"id_identificacion";"id_directorio";"idrph";"region_h";"region_15_h";"r_p_c";"r_p_c_15";"esth";"esth_15";"sech";"tipo";"mesh";"vivh";"hogh";"ano_encuesta";"edadjh";"sexojh";"cursojh";"niveljh";"termino_niveljh";"cinejh";"proveedor";"nacionalidad";"conyugaljh";"informante";"grupo_edad";"totperh";"totmenh";"totmayh";"totfth";"totocuph";"totdesoh";"totffth";"perch";"percocuh";"grujh1";"cisejh";"b8jh";"b9jh";"b10jh";"b11jh";"b12jh";"ram_subcjh1";"ramjh1";"temjh";"b16jh";"meses_empleo";"tme";"b19jh";"hor_habjh";"hor_efejh";"gru_cesjh1";"cise_cesjh";"ram_cesjh1";"ss_t";"svar_t";"reg_t";"ing_t_d";"gan_t";"ing_t_cp";"ing_t_emp";"autoconsumo_t";"ahorroimp_t";"ing_t_i";"ing_t_i_ai";"ing_ot";"ing_t_t";"ing_t_t_ai";"ing_a_p";"ing_a_ob";"ing_a_t";"tipo_vivienda";"vivienda_otro";"div_imp";"alq_imp";"ing_cah";"ing_int";"ing_div";"ing_p_t";"jubvejez_t";"jubinvalidez_t";"montepio_t";"ing_jub";"porfand_t";"pdiscap_t";"pestado_t";"paliment_t";"potras_t";"ing_pen";"suf_t";"subotros_t";"ing_sube";"ing_subc";"becaest_t";"donaciones_t";"remesas_t";"ing_bdr";"salext_t";"otrafuent_t";"ing_otros";"ing_aut";"ing_mon";"ing_total";"ing_prom";"ing_prom_aut";"cse_especificojh";"fact_cal_esi";"decilh";"ing_total_e"
118928;14960;547550;13;13;13401;13401;13381;13381;;1;12;3;1;2012;59;2;8;3;1;4;"1";"0";5;"1";6;6;2;4;2;2;0;2;3;3;9;2;;;;;;"";7;1;2;3;1;2;21;21;;"";;0;0;0;0;160721,649484536;160721,649484536;0;0;40000;160721,649484536;120721,649484536;60270,618556701;220992,268041237;180992,268041237;0;0;0;3;"";0;120541.237113402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78249,3440721649;0;0;78249,3440721649;0;0;0;299241,612113402;299241,612113402;419782,849226804;69963,8082044673;49873,6020189003;1;200,082744969532;1;83991304,7644303
133433;16156;618293;13;13;13110;13110;13241;13241;;1;12;10;1;2012;57;1;8;3;1;4;"1";"0";2;"1";6;3;1;2;2;2;0;0;2;2;9;2;;;;;;"";7;1;6;228;8;2;48;48;;"";;0;0;0;0;120541,237113402;120541,237113402;0;0;0;120541,237113402;120541,237113402;0;120541,237113402;120541,237113402;0;0;0;3;"";0;50225.5154639175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39124,6720360825;0;0;39124,6720360825;0;0;0;159665,909149484;159665,909149484;209891,424613402;69963,8082044673;53221,9697164948;1;153,548204750361;1;32228451,4418836
83572;15489;373477;14;14;14108;14108;14039;14039;249;3;11;14;1;2012;38;1;7;3;2;4;"1";"0";1;"0";4;5;2;3;1;1;0;2;3;1;;0;;;;;;"";;;;;;;;;;"";;0;0;0;0;0;14000;0;14000;80000;14000;-66000;0;14000;-66000;0;0;0;3;"";0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30976;0;30976;0;244859;0;0;244859;0;0;0;258859;289835;349835;69967;51771,8;10;232,240041276133;1;81245694,839836
137220;18851;636366;8;8;8101;8101;8041;8041;;1;11;5;1;2012;51;2;6;3;2;3;"1";"0";5;"1";5;1;0;1;1;0;1;0;1;0;;0;;;;;;"";;;;;;;;;9;"6";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"";0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;0;0;0;10000;10000;70000;70000;10000;8;16,6163850002314;1;1163146,9500162
132053;18373;611732;13;13;13401;13401;13381;13381;;1;11;5;1;2012;46;1;0;0;2;1;"1";"0";3;"1";5;1;0;1;1;1;0;0;1;1;6;2;;;;;;"";1;1;2;46;6;2;16;16;;"";;0;0;0;0;30000;30000;0;0;0;30000;30000;0;30000;30000;0;0;0;4;"";0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30000;30000;70000;70000;30000;1;242,84385740188;1;16999070,0181316
137319;12937;636857;10;10;10106;10106;10099;10099;195;3;11;5;1;2012;52;1;6;3;2;3;"1";"0";1;"1";5;2;0;2;1;1;0;1;1;1;6;2;;;;;;"";1;1;8;274;8;2;21;21;;"";;0;0;0;0;50000;50000;0;0;50000;50000;0;30000;80000;30000;0;0;0;3;"";0;60000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80000;80000;140000;70000;40000;1;73,7730344559642;1;10328224,823835
148097;16577;688559;5;5;5501;5501;5071;5071;;1;11;23;1;2012;69;2;6;3;1;3;"1";"0";4;"1";7;1;0;1;1;1;0;0;1;1;9;5;2;2;;4;;"";16;;;24;4;2;7;7;;"";;5000;0;0;5000;0;0;0;0;0;0;0;0;5000;5000;0;0;0;4;"";0;30000;0;0;0;0;35000;0;0;35000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40000;40000;70000;70000;40000;1;9,18444838888001;1;642911,387221601
121653;5177;561010;7;7;7101;7101;7069;7069;902;3;11;9;1;2012;62;2;0;0;2;1;"1";"0";1;"1";6;2;0;2;2;2;0;0;1;1;9;3;2;1;1;4;4;"11";1;3;8;0;1;1;45;18;;"";;0;0;0;0;0;0;0;0;0;0;0;90000;90000;90000;0;0;0;3;"";0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;90000;140000;70000;45000;1;81,7848952617404;1;11449885,3366437
126934;12933;615546;5;5;5304;5304;5049;5049;42;3;11;6;1;2012;35;2;4;4;1;5;"0";"0";2;"1";4;4;2;2;1;1;0;1;2;1;;0;;;;;;"";;;;;;;;;;"";;0;0;0;0;2e+05;2e+05;0;0;0;2e+05;2e+05;0;2e+05;2e+05;0;0;0;3;"";0;80000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2e+05;2e+05;280000;70000;50000;28;43,6841516661501;1;12231562,466522
121339;16424;559474;7;7;7203;7203;7119;7119;2977;3;11;13;1;2012;61;1;6;3;1;3;"1";"0";1;"0";6;3;0;3;2;2;0;1;1;1;9;3;1;1;1;2;1;"";1;3;9;8;3;2;45;45;;"";;120000;0;40000;160000;0;0;0;0;0;0;0;0;160000;160000;0;0;0;3;"";0;50000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160000;160000;210000;70000;53333,3333333333;1;44,4614731383764;1;9336909,35905905
